"","trimestre","alcance","desocupados","activos","ocupados","edad_activ","desocupados_ampliado","activos_ampliado","desocupacion","participacion","ocupacion","desocupacion_ampliada"
"20",2010-05-01,"Antofagasta",17075.2069282489,269115.867090052,252040.660161803,431237.000060213,30318.8340191376,282359.494180941,6.3,62.4,58.4,10.7
"21",2010-06-01,"Antofagasta",17550.7423416712,270342.507044077,252791.764702405,431892.000067615,30169.0393589128,282960.804061318,6.5,62.6,58.5,10.7
"22",2010-07-01,"Antofagasta",15040.0851228352,268350.108927394,253310.023804559,432546.000016846,28792.4243750859,282102.448179645,5.6,62,58.6,10.2
"23",2010-08-01,"Antofagasta",15167.3312861594,271359.828133008,256192.496846849,433179.000000842,31781.0919381811,287973.58878503,5.6,62.6,59.1,11
"24",2010-09-01,"Antofagasta",15548.3189253795,276954.12067087,261405.80174549,433807.000000905,32303.5231256602,293709.324871151,5.6,63.8,60.3,11
"25",2010-10-01,"Antofagasta",14638.7669491337,275116.970484111,260478.203534977,434475.000001005,31435.6913906875,291913.894925665,5.3,63.3,60,10.8
"26",2010-11-01,"Antofagasta",17624.7471422714,278482.206925663,260857.459783392,435102.00008663,33806.4809630737,294663.940746465,6.3,64,60,11.5
"27",2010-12-01,"Antofagasta",19194.9833630652,278311.586982451,259116.603619385,435755.000094656,37274.6060271408,296391.209646526,6.9,63.9,59.5,12.6
"28",2011-01-01,"Antofagasta",19416.8544789638,276647.820777352,257230.966298388,436378.000153576,37088.5682502878,294319.534548676,7,63.4,58.9,12.6
"29",2011-02-01,"Antofagasta",14335.8387196746,272776.605745015,258440.767025341,437020.000311939,30257.8589396603,288698.625965001,5.3,62.4,59.1,10.5
"30",2011-03-01,"Antofagasta",15250.4811766212,269304.545159059,254054.063982438,437645.000324532,28676.5533265728,282730.61730901,5.7,61.5,58.1,10.1
"31",2011-04-01,"Antofagasta",16123.5330650807,268622.518478823,252498.985413743,438296.000218342,30585.28482711,283084.270240852,6,61.3,57.6,10.8
"32",2011-05-01,"Antofagasta",16379.7389484664,268406.694391692,252026.955443225,438931.000299841,29928.9204084067,281955.875851632,6.1,61.2,57.4,10.6
"33",2010-02-01,"Atacama",9688.54344492783,134104.947926977,124416.40448205,217171,37039.7395473204,161456.14402937,7.2,61.8,57.3,22.9
"34",2010-03-01,"Atacama",10318.39030836,133593.71188768,123275.32157932,217402,37264.8535615022,160540.175140822,7.7,61.5,56.7,23.2
"35",2010-04-01,"Atacama",7760.96478613329,132742.729386828,124981.764600695,217647,34616.1617099679,159597.926310663,5.8,61,57.4,21.7
"36",2010-05-01,"Atacama",8411.8457354716,133736.514368509,125324.668633037,217900,34110.2111972002,159434.879830237,6.3,61.4,57.5,21.4
"37",2010-06-01,"Atacama",6859.31989710696,133526.178395551,126666.858498444,218131,31741.2412257778,158408.099724221,5.1,61.2,58.1,20
"38",2010-07-01,"Atacama",6990.56358171827,131360.896114856,124370.332533138,218368,32780.0983653758,157150.430898514,5.3,60.2,57,20.9
"39",2010-08-01,"Atacama",6629.48506718632,132448.374517258,125818.889450072,218610,31717.4758193615,157536.365269433,5,60.6,57.6,20.1
"40",2010-09-01,"Atacama",8263.90697969493,132921.692823807,124657.785844112,218840,33218.8963805794,157876.682224691,6.2,60.7,57,21
"41",2010-10-01,"Atacama",8273.6621150296,134887.775071262,126614.112956233,219059,29423.9815550616,156038.094511294,6.1,61.6,57.8,18.9
"42",2010-11-01,"Atacama",8705.20997337527,134731.188371714,126025.978398339,219274,27343.9878571822,153369.966255521,6.5,61.4,57.5,17.8
"43",2010-12-01,"Atacama",6855.76507897294,133877.193663071,127021.428584098,219517,25244.551736747,152265.980320845,5.1,61,57.9,16.6
"44",2011-01-01,"Atacama",7605.92713910731,134930.669962912,127324.742823805,219720,27159.0176036094,154483.760427415,5.6,61.4,57.9,17.6
"45",2011-02-01,"Atacama",7455.02010566256,134281.006502318,126825.986396655,219963,28627.674464017,155453.660860672,5.6,61,57.7,18.4
"46",2011-03-01,"Atacama",7015.72973153479,132445.722918934,125429.9931874,220181,29328.9963749746,154758.989562374,5.3,60.2,57,19
